id,date,month,category,region,channel,quantity,amount
1,2025-01-12,jan,coffee,east,online,4,8.53
2,2025-01-23,jan,groceries,west,in_store,5,55.37
3,2025-01-16,jan,utilities,north,online,2,306.69
4,2025-01-18,jan,dining,north,online,2,14.22
5,2025-01-23,jan,groceries,north,online,5,8.43
6,2025-01-12,jan,dining,east,in_store,3,149.01
7,2025-01-25,jan,groceries,east,in_store,4,128.14
8,2025-01-17,jan,transport,north,in_store,2,30.58
9,2025-01-22,jan,coffee,north,in_store,3,4.30
10,2025-01-31,jan,groceries,south,online,5,186.36
11,2025-01-13,jan,utilities,east,in_store,3,326.46
12,2025-01-03,jan,electronics,south,in_store,2,386.93
13,2025-01-26,jan,coffee,north,in_store,2,9.20
14,2025-01-28,jan,electronics,west,online,1,1897.26
15,2025-01-13,jan,electronics,south,online,4,1616.70
16,2025-01-26,jan,groceries,west,in_store,3,100.71
17,2025-01-10,jan,coffee,west,online,2,3.98
18,2025-01-23,jan,utilities,north,online,4,171.89
19,2025-01-24,jan,coffee,north,in_store,3,12.49
20,2025-01-05,jan,transport,south,in_store,4,78.46
21,2025-01-21,jan,coffee,north,in_store,2,4.33
22,2025-01-30,jan,groceries,south,in_store,5,96.31
23,2025-01-16,jan,utilities,north,online,1,355.64
24,2025-01-05,jan,transport,east,online,2,15.29
25,2025-01-27,jan,groceries,east,in_store,4,44.22
26,2025-01-19,jan,electronics,west,online,2,969.53
27,2025-01-10,jan,groceries,east,online,4,189.55
28,2025-01-24,jan,coffee,west,in_store,1,4.16
29,2025-01-02,jan,transport,north,online,4,29.26
30,2025-01-04,jan,rent,east,online,3,1193.35
31,2025-01-06,jan,groceries,south,in_store,4,115.34
32,2025-01-29,jan,travel,west,online,4,2764.78
33,2025-01-14,jan,groceries,east,online,3,144.88
34,2025-01-20,jan,coffee,south,in_store,4,13.09
35,2025-01-24,jan,coffee,north,online,3,8.84
36,2025-01-20,jan,utilities,east,in_store,3,260.12
37,2025-01-17,jan,transport,north,online,3,46.72
38,2025-01-15,jan,coffee,south,online,2,6.01
39,2025-01-20,jan,groceries,west,in_store,3,91.55
40,2025-01-20,jan,groceries,south,in_store,5,94.59
41,2025-01-27,jan,utilities,south,online,3,348.87
42,2025-01-18,jan,utilities,east,in_store,1,305.91
43,2025-01-28,jan,dining,east,in_store,3,48.97
44,2025-01-11,jan,groceries,south,in_store,1,184.55
45,2025-01-21,jan,groceries,north,online,3,85.05
46,2025-01-07,jan,groceries,south,online,1,100.85
47,2025-01-07,jan,coffee,west,online,2,7.40
