id,date,amount,category
1,2024-01-03,42.50,groceries
2,2024-01-10,199.99,electronics
3,2024-01-15,15.00,coffee
4,2024-02-02,875.25,rent
5,2024-02-08,63.10,groceries
6,2024-02-14,5.99,coffee
7,2024-02-20,320.00,utilities
8,2024-03-01,1200.00,rent
9,2024-03-05,89.45,electronics
10,2024-03-12,12.75,coffee
11,2024-03-19,450.00,travel
12,2024-03-25,27.30,groceries
13,2024-04-02,999.99,electronics
14,2024-04-08,8.50,coffee
15,2024-04-15,150.00,utilities
16,2024-04-22,3200.00,travel
17,2024-05-01,44.20,groceries
18,2024-05-10,110.00,utilities
19,2024-05-18,678.00,travel
20,2024-05-25,19.99,coffee
